SKU,Título,Armazém,Estante,Estoque Baixo,Em Trânsito(Compra),Em Trânsito(Transferência）,Ocupado,Disponível,Estoque Atual,Custo Médio,Subtotal,Criado
5060,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
5054,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
8973,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
5063,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
5056,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12418,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12430,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12427,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12424,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12433,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12421,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12272,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12489,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12274,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12270,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12278,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12268,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12604,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12607,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12591,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12601,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12610,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12594,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4559,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4553,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
8928,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4561,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4555,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3735,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12622,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12625,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12613,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12619,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12628,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
12616,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3783,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2863,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
10359,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3127,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3070,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
8987,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3130,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3082,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2617,Cor:Verde Musgo,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2615,Cor:Preto Absoluto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
7744,Cor:Ferrugem,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2623,Cor:Azul,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
15914,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
10008,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2295,Cor:Nobuck Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
10941,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
10940,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
10939,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
1269,Cor:Off white com amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
1255,Cor:Branco com amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
1265,Cor:Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4977,Cor:Verde Musgo,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4975,Cor:Preto Absoluto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4979,Cor:Bege Escuro,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2391,Cor:Marrom com Preto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2423,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2389,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
8965,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2425,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
2397,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
10376,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3737,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3699,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
9042,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3739,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
3707,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
4615,Cor:Verde,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4617,Cor:Coral,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4619,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4613,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10872,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10873,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10870,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12337,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12340,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12328,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12334,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12343,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12331,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4565,Cor:Verde,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4567,Cor:Coral,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4569,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4563,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10884,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10883,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10882,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
5067,Cor:Verde,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
5070,Cor:Coral,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
5072,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
5065,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10058,Cor:Rosê,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9810,Cor:Off White,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10935,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10934,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10933,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10911,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10910,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10914,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10909,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
7143,Cor:Off White com Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9571,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2980,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2923,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8981,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2983,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2935,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2204,Cor:Nobuck Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12286,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12288,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12280,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12284,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12290,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12282,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12301,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12304,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12292,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12998,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12307,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12295,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10440,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4228,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4171,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9061,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4231,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4183,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12901,Cor:Off White com Preto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12897,Cor:Off White com Dourado,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12899,Cor:Amêndoa com Preto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12895,Cor:Amêndoa com Dourado,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3390,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
1189,Cor:Branco,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8570,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8558,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9025,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8573,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8561,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3538,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8697,Cor:Nature,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
1053,Cor:Branco,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
7147,Cor:Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
1237,Cor:Preto com amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10372,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3442,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3402,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9000,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3444,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3412,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8548,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10858,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10855,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10852,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10301,Cor:Off White com Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
11309,Cor:Ginduia com Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10713,Cor:Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10455,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4442,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4385,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9070,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4445,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4397,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
1287,Cor:Off white com amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
1279,Cor:Branco com amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
1284,Cor:Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8616,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8594,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9031,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8619,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
8606,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4529,Cor:Verde,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4531,Cor:Coral,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4533,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4527,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10878,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10877,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10876,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
11354,Cor:Gianduia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10310,Cor:Off White,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
12676,Cor:Rosê,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
10432,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3940,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3899,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
9050,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3942,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
3909,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2599,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2635,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
2607,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:30
4547,Cor:Verde,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4549,Cor:Coral,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4551,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4545,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
7148,Cor:Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2503,Cor:Verde Musgo,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2499,Cor:Preto Absoluto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
3586,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
10304,Cor:Off White,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2281,Cor:Verde Musgo,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2279,Cor:Preto Absoluto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2287,Cor:Ferrugem,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2285,Cor:Azul,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
16112,Cor:Verde Sage,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
16169,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
16590,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
16171,Cor:Bege Claro,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
3634,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2704,Cor:Verde Musgo,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2702,Cor:Preto Absoluto,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
11568,Cor:Ferrugem,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
2710,Cor:Azul,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
12355,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
12358,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
12346,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
12352,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
12361,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
12349,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
469,Cor:Branco,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
10449,Cor:Terracota,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4297,Cor:Grafite,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4243,Cor:Cinza com Marrom,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
9064,Cor:Cinza,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4300,Cor:Azul Marinho,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
4255,Cor:Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:29
